"date","Ws_hourly_avg","co","pm10","T_met","visib_met","press_met"
2003-04-03 16:00:00,7.8,1.03,99,27.7777777777778,7,0
2003-04-04 00:00:00,6.5,1.19,111,32.2222222222222,7,0
2003-04-04 08:00:00,16.7,2.1,109,32.2222222222222,7,0
2003-04-04 16:00:00,17.7,0.2,135,27.7777777777778,7,0
2003-04-05 00:00:00,3.6,1.14,145,32.2222222222222,7,0
2003-04-05 08:00:00,11.8,1.89,183,32.2222222222222,7,0
2003-04-05 16:00:00,9.8,0.52,97,30,7,0
2003-04-06 00:00:00,5.3,0.64,140,32.7777777777778,7,0
2003-04-06 08:00:00,12.1,0.53,90,33.8888888888889,7,0
2003-04-06 16:00:00,14.1,0.77,87,27.2222222222222,7,0
2003-04-07 00:00:00,5,0.52,74,31.1111111111111,7,0
2003-04-07 08:00:00,9.1,1.38,152,31.1111111111111,7,0
2003-04-07 16:00:00,9.3,1.46,109,25,7,0
2003-04-08 00:00:00,5.7,0.49,87,31.1111111111111,7,0
2003-04-08 08:00:00,10.3,0.85,103,32.2222222222222,7,0
2003-04-08 16:00:00,8.2,0.91,158,28.8888888888889,7,0
2003-04-09 00:00:00,6.5,0.77,153,32.7777777777778,7,0
2003-04-09 08:00:00,13.1,1.43,157,32.7777777777778,7,0
2003-04-09 16:00:00,13.7,1.08,130,27.2222222222222,7,0
2003-04-10 00:00:00,5.7,0.39,99,32.7777777777778,7,0
2003-04-10 08:00:00,13.1,1.16,119,32.2222222222222,7,0
2003-04-10 16:00:00,9.3,1.2,210,26.1111111111111,5.6,0
2003-04-11 00:00:00,5.2,0.86,108,31.1111111111111,7,0
2003-04-11 08:00:00,14.2,1.3,126,30,7,0
2003-04-11 16:00:00,11.7,2.18,127,25,7,0
2003-04-12 00:00:00,4.8,0.62,136,32.2222222222222,7,0
2003-04-12 08:00:00,11.5,1.52,113,31.1111111111111,7,0
2003-04-12 16:00:00,12.2,1.35,136,26.1111111111111,7,0
2003-04-13 00:00:00,6.4,0.6,108,32.7777777777778,7,0
2003-04-13 08:00:00,9.8,0.62,111,31.1111111111111,7,0
2003-04-13 16:00:00,11.4,0.49,115,27.7777777777778,7,0
2003-04-14 00:00:00,5.5,0.58,93,32.7777777777778,7,0
2003-04-14 08:00:00,12,1.36,114,32.7777777777778,7,0
2003-04-14 16:00:00,12.9,1.28,107,27.2222222222222,7,0
2003-04-15 00:00:00,3.9,0.73,77,32.2222222222222,7,0
2003-04-15 08:00:00,12,2.02,136,32.2222222222222,7,0
2003-04-15 16:00:00,12.6,1.01,120,27.2222222222222,7,0
2003-04-16 00:00:00,3.8,1.42,104,32.7777777777778,7,0
2003-04-16 08:00:00,14.4,1.63,203,32.2222222222222,7,0
2003-04-16 16:00:00,14.1,1.11,118,27.2222222222222,7,0
2003-04-17 00:00:00,5.5,1.01,111,31.1111111111111,7,0
2003-04-17 08:00:00,11.1,2.42,192,30,7,0
2003-04-17 16:00:00,6.9,0.75,133,27.2222222222222,5.6,0
2003-04-18 00:00:00,5.2,0.53,0,32.2222222222222,7,0
2003-04-18 08:00:00,9.2,1.32,0,32.2222222222222,7,0
2003-04-18 16:00:00,8.7,0.55,0,27.7777777777778,7,0
2003-04-19 00:00:00,6.8,0.8,0,32.7777777777778,7,0
2003-04-19 08:00:00,12.9,0.81,0,32.7777777777778,7,0
2003-04-19 16:00:00,12.1,0.53,122,27.7777777777778,7,0
2003-04-20 00:00:00,6,0.71,93,32.2222222222222,7,0
2003-04-20 08:00:00,11.7,0.88,122,31.1111111111111,7,0
2003-04-20 16:00:00,10.3,0.85,89,27.7777777777778,7,0
2003-04-21 00:00:00,4.8,0.92,145,28.8888888888889,7,0
2003-04-21 08:00:00,10.2,2,182,28.8888888888889,7,0
2003-04-21 16:00:00,5.3,0.83,96,27.2222222222222,7,0
2003-04-22 00:00:00,5.3,0.92,158,32.7777777777778,7,0
2003-04-22 08:00:00,10.8,1.07,134,32.2222222222222,7,0
2003-04-22 16:00:00,11.8,0.58,90,27.2222222222222,7,0
2003-04-23 00:00:00,6.2,0.88,185,32.2222222222222,7,0
2003-04-23 08:00:00,12.7,1.46,140,32.2222222222222,7,0
2003-04-23 16:00:00,14.3,0.57,128,28.8888888888889,7,0
2003-04-24 00:00:00,8.4,0.61,104,32.7777777777778,7,0
2003-04-24 08:00:00,11,1.16,159,32.2222222222222,7,0
2003-04-24 16:00:00,12.4,0.77,125,28.8888888888889,7,0
2003-04-25 00:00:00,5.7,0.6,98,33.8888888888889,7,0
2003-04-25 08:00:00,12.3,1.09,125,32.7777777777778,7,0
2003-04-25 16:00:00,13.9,0.65,120,27.7777777777778,7,0
2003-04-26 00:00:00,7.7,0.86,111,32.2222222222222,7,0
2003-04-26 08:00:00,10.7,0.8,93,32.7777777777778,7,0
2003-04-26 16:00:00,11.2,0.45,75,27.2222222222222,7,0
2003-04-27 00:00:00,5.8,0.61,115,32.7777777777778,7,0
2003-04-27 08:00:00,10.9,0.63,116,32.7777777777778,7,0
2003-04-27 16:00:00,12,0.37,89,28.8888888888889,7,0
2003-04-28 00:00:00,4.9,0.64,140,32.7777777777778,7,0
2003-04-28 08:00:00,12.6,1.42,136,32.7777777777778,7,0
2003-04-28 16:00:00,12.2,0.88,101,27.2222222222222,7,0
2003-04-29 00:00:00,11.2,0.37,101,32.7777777777778,7,0
2003-04-29 08:00:00,10.2,1.91,148,31.1111111111111,7,0
2003-04-29 16:00:00,9,0.87,100,26.1111111111111,5.6,0
2003-04-30 00:00:00,4.9,1.26,101,32.7777777777778,7,0
2003-04-30 08:00:00,13.8,1.22,111,32.2222222222222,7,0
2003-04-30 16:00:00,13.7,1.45,103,26.1111111111111,7,0
2003-05-01 00:00:00,5,0.58,84,32.7777777777778,7,0
2003-05-01 08:00:00,11.9,0.33,75,31.1111111111111,7,0
2003-05-01 16:00:00,9.7,0.9,92,27.2222222222222,7,0
2003-05-02 00:00:00,6.8,0.57,55,32.2222222222222,7,0
2003-05-02 08:00:00,10.2,1.09,83,32.2222222222222,7,0
2003-05-02 16:00:00,10.8,1.02,88,27.2222222222222,5.6,0
2003-05-03 00:00:00,4.8,0.81,76,31.1111111111111,7,0
2003-05-03 08:00:00,10.8,0.91,104,32.2222222222222,7,0
2003-05-03 16:00:00,13.3,0.88,108,27.2222222222222,5.6,0
2003-05-04 00:00:00,7.8,0.73,91,32.7777777777778,7,0
2003-05-04 08:00:00,10.3,0.74,93,30,7,0
2003-05-04 16:00:00,12.3,0.54,81,26.1111111111111,7,0
2003-05-05 00:00:00,5,0.72,102,32.7777777777778,7,0
2003-05-05 08:00:00,14.2,1.25,97,32.2222222222222,7,0
2003-05-05 16:00:00,14.8,0.75,91,27.2222222222222,7,0
2003-05-06 00:00:00,6,1.16,106,32.7777777777778,7,0
2003-05-06 08:00:00,13.4,1.63,131,32.7777777777778,7,0
2003-05-06 16:00:00,15,0.44,91,28.8888888888889,7,0
2003-05-07 00:00:00,5.9,0.62,132,32.7777777777778,7,0
2003-05-07 08:00:00,11.1,1.35,135,32.7777777777778,7,0
2003-05-07 16:00:00,11.8,0.59,99,27.2222222222222,7,0
2003-05-08 00:00:00,7.9,0.44,84,32.7777777777778,7,0
2003-05-08 08:00:00,15.1,1.06,119,31.1111111111111,7,0
2003-05-08 16:00:00,14.2,0.53,97,26.1111111111111,7,0
2003-05-09 00:00:00,7,0.33,46,33.8888888888889,7,0
2003-05-09 08:00:00,8.3,0.77,97,32.2222222222222,7,0
2003-05-09 16:00:00,14.6,0.54,117,26.1111111111111,7,0
2003-05-10 00:00:00,14.1,0.27,62,32.2222222222222,7,0
2003-05-10 08:00:00,6.6,0.59,96,32.2222222222222,7,0
2003-05-10 16:00:00,8.6,0.62,124,28.8888888888889,7,0
2003-05-11 00:00:00,7,0.59,94,32.7777777777778,7,0
2003-05-11 08:00:00,7.9,0.56,106,32.2222222222222,7,0
